
﻿section;service;base;extended;individual;comment
Раздел;Услуга;Базовый;Расширенный;Индивидуально;Комментарий
Полиграфия и печать;Визитки;3000;5000;от 8000;Разработка макета визитной карточки в фирменном стиле. Подготовка под стандартные форматы и печать.
Полиграфия и печать;Листовка / флаер;3500;6000;от 9000;Дизайн рекламной листовки или флаера с учётом бренда и цели. Подготовка к печати.
Полиграфия и печать;Постер / афиша;5000;8000;от 12000;Создание постера или афиши для мероприятий и акций. Чёткий месседж и привлекательный визуал.
Полиграфия и печать;Меню (кафе / ресторан);6000;10000;от 15000;Дизайн меню для кафе или ресторана: структурирование блюд, подбор шрифтов и стилистики. Подготовка к печати.
Полиграфия и печать;Буклет / брошюра (до 8 полос);6000;10000;от 15000;Верстка и дизайн буклета или брошюры до 8 полос. Баланс текста и графики, подготовка к печати.
Полиграфия и печать;Этикетка / простая упаковка;5000;9000;от 14000;Разработка дизайн-макета для этикетки или простой упаковки. Учитываем брендирование и читаемость.
Полиграфия и печать;Упаковка сложной формы;8000;15000;от 22000;Создание дизайна для упаковки сложной формы с проработкой развёртки и стилистики. Подготовка макета.
Полиграфия и печать;Широкоформатный баннер / роллап;5000;9000;от 14000;Дизайн баннера или роллапа для мероприятий и рекламы. Учитываем большие размеры и читаемость на расстоянии.
Полиграфия и печать;Подготовка макета к печати;2000;4000;от 6000;Проверка и корректировка готового макета перед отправкой в типографию: вылеты, цвет, профиль.
Каталоги и многостраничка;Верстка каталога (за страницу);350;600;от 900;Верстка каталога с продуманной структурой и логикой подачи. Цена указана за одну страницу.
Каталоги и многостраничка;Верстка презентации (за слайд);400;700;от 1000;Дизайн и верстка презентации в стиле бренда. Стоимость за один слайд.
Каталоги и многостраничка;Верстка книги / журнала (за страницу);350;600;от 900;Верстка книги или журнала с соблюдением типографики, сетки и стиля. Цена за страницу.
Каталоги и многостраничка;Верстка газеты;600;1000;от 1400;Дизайн и верстка газеты с учётом формата, колонтитулов и удобства чтения.
Ивенты и офлайн;Дизайн ивент-материалов (пакет носителей);15000;30000;от 45000;Разработка комплекта визуальных материалов для мероприятий: афиши, бейджи, навигационные элементы и другие носители в едином стиле.
Ивенты и офлайн;Визуальные указатели и навигация;10000;20000;от 30000;Создание простых визуальных элементов навигации: стрелки, указатели, пиктограммы. Без проектирования пользовательских сценариев.
Графика и фото;Обработка фото (1 изображение);1000;1500;от 2500;Базовая цветокоррекция и ретушь одного изображения. Итоговый файл в нужном формате.
Графика и фото;Сложная ретушь / арт-обработка;1500;3000;от 5000;Глубокая ретушь, устранение дефектов и творческая обработка для художественного эффекта.
Графика и фото;Векторная иллюстрация / принт;4000;8000;от 12000;Создание векторной иллюстрации или принта под ваши задачи: чёткие линии, масштабируемость.
Графика и фото;Дизайн для текстиля;4000;7000;от 11000;Разработка принтов и узоров для текстильных изделий: одежда, аксессуары, интерьеры.
Анимация и видео;Простая зацикленная анимация;4000;8000;от 12000;Создание короткой зацикленной анимации для веба или соцсетей. Лёгкие движения, повторяемый цикл.
Анимация и видео;Монтаж простого видео;4000;8000;от 12000;Монтаж и базовое оформление видео: нарезка, ритм, добавление титров и музыки.
Сайты и интерфейсы;Дизайн сайта / лендинга;15000;30000;от 45000;Разработка визуальной концепции и дизайн макета сайта или лендинга. Адаптация под разные экраны.
Сайты и интерфейсы;Верстка сайта / лендинга;20000;40000;от 60000;HTML/CSS верстка сайта или лендинга по готовому дизайну. Адаптивность и базовая оптимизация.
Сайты и интерфейсы;Мини-приложение Telegram (UI + прототип);25000;50000;от 80000;Дизайн и frontend-прототип мини-приложения для Telegram WebApp. Без backend и серверной логики, с подготовкой к дальнейшей интеграции.
Сайты и интерфейсы;UI-дизайн интерфейсов;20000;40000;от 60000;Проектирование визуальной части интерфейсов: экраны, элементы, состояния. Фокус на аккуратный внешний вид и понятную подачу.
Сопровождение;Ведение дизайн-проекта (в месяц);40000;80000;от 100000;Сопровождение дизайн-проекта: управление задачами, коммуникация с подрядчиками, контроль качества. Ежемесячный тариф.
AI и экспериментальные задачи;AI-генерация изображений;3000;6000;от 12000;Создание визуалов с помощью ИИ под конкретную задачу: стиль, настроение, формат. Подходит для быстрого контента, идей и тестов.
AI и экспериментальные задачи;AI-визуал для брендов;6000;12000;от 25000;Разработка AI-визуалов в едином стиле для брендов, продуктов и проектов. Упор на целостность образа и коммерческое применение.
AI и экспериментальные задачи;AI-доработка изображений;3000;6000;от 10000;Улучшение и доработка готовых изображений с помощью ИИ: исправление деталей, повышение качества, адаптация под нужный формат.
AI и экспериментальные задачи;Экспериментальные проекты;5000;10000;от 20000;Нестандартные визуальные задачи с использованием ИИ и креативных подходов. Подходит для проектов без жёстких рамок и с фокусом на результат.
Дизайн и графика;Маркетинговые и печатные материалы;12000;25000;от 40000;Дизайн визуальных материалов для бизнеса: презентации, рекламные макеты, печатная продукция. Подготовка к цифровому и офлайн-использованию.
Консалтинг;Консультация по визуалу и дизайну;5000;10000;от 20000;Разбор задач, идей и визуальных решений. Помощь в выборе направления, стиля и формата под конкретный проект.
